id;Genero;Edad;Pasajero_frecuente;Tipo_viaje;Clase;Distancia_volada;Comodidad;Servicio_a_bordo;Demora_despegue;Satisfaccion
62482;F;46;SI;Negocios;Business;1744;4;4;28;satisfecho
17836;M;52;SI;Vacaciones;Eco Plus;1075;4;3;0;satisfecho
64287;F;50;SI;Negocios;Business;3799;4;4;8;satisfecho
44304;M;25;SI;Negocios;Business;1428;4;1;0;satisfecho
34501;F;22;SI;Negocios;Eco;1521;4;1;3;satisfecho
67551;M;43;SI;Vacaciones;Business;1235;4;3;0;neutral o insatisfecho
11536;F;36;SI;Negocios;Eco Plus;267;2;1;59;neutral o insatisfecho
47773;F;62;SI;Negocios;Eco;550;1;5;92;satisfecho
70521;F;60;SI;Negocios;Business;1889;4;5;0;satisfecho
96283;F;59;SI;Vacaciones;Eco;460;4;5;4;neutral o insatisfecho
117993;F;49;SI;Negocios;Business;3295;4;5;0;satisfecho
88249;M;24;NO;Negocios;Business;444;2;5;20;satisfecho
83968;M;56;SI;Negocios;Eco;321;2;2;0;neutral o insatisfecho
122719;F;30;SI;Negocios;Business;651;5;4;0;satisfecho
122093;F;32;SI;Vacaciones;Eco;130;5;2;3;neutral o insatisfecho
27957;M;22;SI;Negocios;Business;1660;2;4;0;neutral o insatisfecho
87976;F;42;SI;Negocios;Business;1898;4;5;49;satisfecho
15143;M;35;SI;Negocios;Business;1042;3;3;0;neutral o insatisfecho
78136;F;54;SI;Vacaciones;Business;153;5;2;0;neutral o insatisfecho
15963;F;44;SI;Vacaciones;Eco;528;4;5;0;neutral o insatisfecho
21276;M;36;NO;Negocios;Eco;692;1;1;0;neutral o insatisfecho
115641;M;21;NO;Negocios;Eco;447;1;4;7;neutral o insatisfecho
102623;F;50;SI;Negocios;Business;3696;4;5;9;satisfecho
31533;F;21;SI;Vacaciones;Eco;846;3;5;9;neutral o insatisfecho
24895;F;38;SI;Vacaciones;Eco;397;5;5;0;neutral o insatisfecho
31122;M;35;SI;Negocios;Business;2409;3;4;0;satisfecho
125701;M;67;SI;Vacaciones;Eco;899;2;5;0;neutral o insatisfecho
94999;F;38;SI;Vacaciones;Eco;293;5;2;5;satisfecho
123064;M;56;SI;Negocios;Business;2556;4;4;117;satisfecho
14965;M;27;SI;Negocios;Business;3200;5;4;0;satisfecho
36897;M;40;SI;Vacaciones;Eco;1368;3;4;0;neutral o insatisfecho
127954;M;31;SI;Negocios;Business;1999;5;4;0;satisfecho
27872;M;25;SI;Negocios;Eco Plus;680;1;3;0;satisfecho
11224;M;34;SI;Vacaciones;Eco;201;5;5;3;neutral o insatisfecho
47050;M;26;SI;Negocios;Business;1680;3;1;27;neutral o insatisfecho
30046;M;38;SI;Negocios;Business;2746;2;4;0;satisfecho
110928;F;53;SI;Vacaciones;Eco;404;4;5;0;neutral o insatisfecho
102981;M;39;NO;Negocios;Business;546;2;3;93;neutral o insatisfecho
3796;F;28;NO;Negocios;Eco Plus;599;4;3;0;neutral o insatisfecho
73906;F;27;NO;Negocios;Business;2342;2;4;10;neutral o insatisfecho
74090;F;41;SI;Negocios;Business;3046;5;4;0;satisfecho
46896;M;22;SI;Negocios;Business;3648;3;2;0;satisfecho
7237;F;53;SI;Negocios;Business;3769;1;4;180;neutral o insatisfecho
109359;F;56;SI;Negocios;Business;1189;5;2;9;satisfecho
14794;F;48;SI;Negocios;Eco;95;1;5;0;satisfecho
55823;F;49;NO;Negocios;Business;1416;2;4;0;neutral o insatisfecho
107792;M;41;SI;Negocios;Business;2388;4;4;29;satisfecho
128145;M;60;SI;Negocios;Business;1972;5;5;0;satisfecho
88893;F;38;SI;Negocios;Business;2955;5;4;0;satisfecho
25137;M;44;SI;Vacaciones;Eco;1249;5;5;25;neutral o insatisfecho
18412;F;22;SI;Vacaciones;Eco;284;3;4;34;neutral o insatisfecho
127062;F;45;SI;Negocios;Business;3947;4;3;25;neutral o insatisfecho
112169;M;46;SI;Vacaciones;Eco;895;1;2;40;satisfecho
91108;F;65;SI;Vacaciones;Eco;581;4;1;1;neutral o insatisfecho
51281;F;30;SI;Negocios;Eco Plus;326;2;4;0;satisfecho
75522;F;20;NO;Negocios;Eco;337;4;3;0;satisfecho
82080;F;50;SI;Negocios;Eco;1276;3;2;35;neutral o insatisfecho
101228;M;47;SI;Negocios;Business;2204;4;2;6;satisfecho
41934;M;64;SI;Vacaciones;Eco;129;1;3;13;neutral o insatisfecho
129240;M;53;SI;Negocios;Business;1464;4;3;0;neutral o insatisfecho
35485;M;34;SI;Vacaciones;Eco;1053;3;3;34;neutral o insatisfecho
96673;F;32;SI;Vacaciones;Eco;1036;5;5;12;neutral o insatisfecho
108010;M;20;NO;Negocios;Business;271;1;5;0;satisfecho
115925;F;41;NO;Negocios;Business;371;1;4;35;neutral o insatisfecho
25126;F;65;SI;Vacaciones;Business;1249;4;3;40;neutral o insatisfecho
97455;F;55;SI;Negocios;Business;2699;4;3;0;satisfecho
14292;F;35;SI;Negocios;Business;3833;3;5;0;satisfecho
68232;F;40;SI;Negocios;Business;2559;5;4;0;satisfecho
51224;F;37;NO;Negocios;Eco Plus;373;3;4;0;neutral o insatisfecho
70105;M;40;SI;Negocios;Business;2280;5;5;19;satisfecho
125736;F;30;SI;Negocios;Eco Plus;814;5;3;0;satisfecho
93362;M;44;SI;Vacaciones;Eco;1024;4;1;2;neutral o insatisfecho
100691;F;39;SI;Vacaciones;Eco;889;3;3;38;neutral o insatisfecho
24665;M;19;SI;Vacaciones;Eco;873;4;3;57;neutral o insatisfecho
70371;M;22;SI;Vacaciones;Eco;1145;4;5;0;neutral o insatisfecho
126370;M;39;SI;Vacaciones;Eco;507;4;5;0;neutral o insatisfecho
89613;M;42;SI;Negocios;Business;3404;4;5;8;satisfecho
75061;M;53;SI;Negocios;Business;2611;5;4;0;satisfecho
51744;F;64;SI;Vacaciones;Eco;651;4;2;0;neutral o insatisfecho
105062;M;23;SI;Vacaciones;Eco Plus;361;3;5;0;neutral o insatisfecho
8473;F;49;SI;Negocios;Business;1187;4;3;33;satisfecho
58611;M;46;SI;Negocios;Business;235;4;4;24;satisfecho
39607;M;25;SI;Vacaciones;Eco;965;2;4;0;neutral o insatisfecho
2153;M;66;SI;Vacaciones;Business;685;5;3;0;neutral o insatisfecho
15218;F;39;SI;Negocios;Business;3601;2;4;0;satisfecho
92462;M;46;NO;Negocios;Eco;1892;2;3;0;neutral o insatisfecho
48189;M;79;SI;Negocios;Eco;414;2;1;1;neutral o insatisfecho
105287;F;59;SI;Negocios;Business;2869;4;5;0;satisfecho
81815;F;48;NO;Negocios;Eco;1310;1;2;52;neutral o insatisfecho
41188;M;56;SI;Vacaciones;Eco;429;3;1;35;neutral o insatisfecho
46900;M;28;SI;Negocios;Business;833;2;1;0;satisfecho
55425;M;60;SI;Negocios;Business;2254;4;4;2;satisfecho
88130;M;39;NO;Negocios;Business;444;1;5;12;satisfecho
48354;F;47;SI;Negocios;Eco;522;1;4;40;satisfecho
101584;M;29;NO;Negocios;Business;1099;5;1;51;neutral o insatisfecho
106530;F;26;SI;Vacaciones;Eco;271;5;4;100;neutral o insatisfecho
109597;F;24;NO;Negocios;Eco;920;3;4;0;neutral o insatisfecho
62291;M;34;NO;Negocios;Business;414;1;5;2;neutral o insatisfecho
27641;F;22;SI;Vacaciones;Eco Plus;937;1;1;0;neutral o insatisfecho
19833;F;29;SI;Vacaciones;Eco;413;1;1;7;neutral o insatisfecho
17491;M;26;SI;Negocios;Eco;352;1;4;108;neutral o insatisfecho
74892;M;42;SI;Negocios;Business;2475;4;5;0;satisfecho
111943;M;18;NO;Negocios;Eco;533;3;5;0;neutral o insatisfecho
46720;M;52;SI;Vacaciones;Eco;125;2;3;0;neutral o insatisfecho
50319;M;41;SI;Negocios;Eco;77;5;2;0;satisfecho
108335;F;49;SI;Negocios;Eco;1750;1;2;132;neutral o insatisfecho
97959;M;18;SI;Vacaciones;Eco;793;4;3;91;satisfecho
109458;F;37;SI;Negocios;Business;2571;5;5;0;satisfecho
57753;M;51;SI;Negocios;Business;2704;5;4;60;satisfecho
28336;M;25;SI;Negocios;Business;3848;4;1;0;satisfecho
2878;F;70;SI;Vacaciones;Eco;409;5;5;0;neutral o insatisfecho
115978;M;19;SI;Vacaciones;Eco;308;5;4;91;neutral o insatisfecho
29829;M;33;SI;Negocios;Business;3679;5;3;0;satisfecho
46111;M;29;SI;Vacaciones;Eco;1085;2;4;8;neutral o insatisfecho
43012;M;34;SI;Negocios;Business;3802;1;2;0;satisfecho
48215;F;65;SI;Vacaciones;Eco;192;3;2;0;neutral o insatisfecho
98446;M;36;SI;Vacaciones;Eco;814;5;4;32;neutral o insatisfecho
104661;M;52;SI;Negocios;Business;1778;4;3;4;satisfecho
83673;F;24;NO;Negocios;Eco;577;2;2;0;neutral o insatisfecho
119617;M;40;SI;Negocios;Business;3034;5;4;8;satisfecho
90639;F;51;SI;Negocios;Business;366;4;4;0;satisfecho
53978;F;68;SI;Vacaciones;Eco;1117;3;5;7;neutral o insatisfecho
113946;F;43;SI;Negocios;Business;1750;4;4;0;satisfecho
128529;F;50;SI;Vacaciones;Eco;370;3;4;0;neutral o insatisfecho
10735;M;74;SI;Negocios;Eco;134;2;4;43;neutral o insatisfecho
118083;M;60;SI;Negocios;Business;1276;4;3;10;neutral o insatisfecho
116832;M;55;SI;Negocios;Business;451;5;4;0;satisfecho
51644;F;36;SI;Negocios;Eco;455;3;4;0;neutral o insatisfecho
39113;M;36;SI;Negocios;Eco;190;3;1;0;satisfecho
233;F;38;NO;Negocios;Business;213;1;2;0;neutral o insatisfecho
46382;F;45;NO;Negocios;Eco;1013;4;1;0;neutral o insatisfecho
57816;M;44;SI;Negocios;Business;2764;5;2;8;satisfecho
70400;F;44;SI;Negocios;Business;1162;2;4;0;satisfecho
32994;F;62;SI;Vacaciones;Eco;163;3;3;0;neutral o insatisfecho
74151;F;36;SI;Negocios;Business;2046;4;4;0;neutral o insatisfecho
114937;M;52;SI;Negocios;Business;2590;4;4;0;satisfecho
129473;M;60;SI;Negocios;Business;2611;4;4;17;satisfecho
106144;F;58;SI;Negocios;Eco;302;3;2;17;neutral o insatisfecho
5451;M;52;SI;Negocios;Business;265;1;3;97;neutral o insatisfecho
5993;F;55;SI;Negocios;Business;3494;5;3;1;satisfecho
74164;M;52;SI;Vacaciones;Eco;721;5;3;0;neutral o insatisfecho
59220;M;18;SI;Vacaciones;Eco;1440;5;3;3;neutral o insatisfecho
55696;M;50;SI;Negocios;Business;2633;4;3;0;satisfecho
89236;F;56;SI;Negocios;Business;2139;5;5;38;satisfecho
66299;F;58;SI;Negocios;Business;1578;4;4;0;satisfecho
69604;M;60;SI;Vacaciones;Eco;2475;5;5;15;neutral o insatisfecho
62159;F;50;SI;Negocios;Eco;2425;3;2;2;neutral o insatisfecho
58651;F;23;NO;Negocios;Eco;467;2;1;7;neutral o insatisfecho
45129;F;39;NO;Negocios;Business;174;5;1;0;neutral o insatisfecho
61396;F;38;NO;Negocios;Eco;279;4;3;10;satisfecho
120263;F;42;NO;Negocios;Eco;237;1;3;93;neutral o insatisfecho
24852;M;71;SI;Negocios;Eco Plus;991;1;2;3;neutral o insatisfecho
44186;M;33;SI;Negocios;Eco;157;5;2;30;satisfecho
113137;M;35;SI;Negocios;Eco Plus;543;3;2;48;neutral o insatisfecho
108721;M;29;SI;Negocios;Business;2778;4;4;114;satisfecho
49436;F;39;SI;Negocios;Business;209;5;4;0;satisfecho
93211;F;56;SI;Vacaciones;Eco;1756;3;5;9;neutral o insatisfecho
108771;M;44;SI;Negocios;Business;3548;4;4;0;satisfecho
48375;F;44;SI;Vacaciones;Eco;522;5;3;10;neutral o insatisfecho
46358;F;25;NO;Negocios;Eco;1013;5;5;9;neutral o insatisfecho
128508;M;63;SI;Vacaciones;Eco;304;1;4;0;neutral o insatisfecho
79500;F;22;SI;Negocios;Business;2317;4;5;3;satisfecho
13121;F;45;SI;Negocios;Business;427;3;2;0;neutral o insatisfecho
128941;M;43;SI;Negocios;Business;3489;5;5;0;satisfecho
85042;F;24;NO;Negocios;Business;731;1;3;10;satisfecho
36786;M;80;SI;Negocios;Eco;1111;3;1;0;satisfecho
109590;F;55;SI;Negocios;Business;1827;5;5;0;satisfecho
10953;F;27;NO;Negocios;Eco;191;4;1;24;neutral o insatisfecho
60959;M;41;SI;Negocios;Business;1981;4;1;10;neutral o insatisfecho
118938;M;67;SI;Negocios;Business;1618;2;3;0;neutral o insatisfecho
98976;M;68;SI;Vacaciones;Eco;569;3;5;33;neutral o insatisfecho
28365;M;57;SI;Negocios;Eco;763;5;2;0;satisfecho
66179;M;21;NO;Negocios;Business;550;4;5;25;satisfecho
88102;F;26;SI;Negocios;Business;1947;5;4;493;satisfecho
79670;M;58;SI;Vacaciones;Eco;760;1;2;72;neutral o insatisfecho
114149;M;48;SI;Negocios;Business;1975;2;3;0;neutral o insatisfecho
59222;M;60;SI;Negocios;Business;1440;5;4;26;satisfecho
113769;F;19;SI;Vacaciones;Eco;236;4;4;0;neutral o insatisfecho
36549;F;24;NO;Negocios;Eco;1249;2;5;0;neutral o insatisfecho
